Accumulated Min,Min summed,accumulated Min,min summed
Accumulated Minimum,Min total,accumulated Minimum,min total
Accumulated min,Min_Accumulated,accumulated min,min_Accumulated
Accumulated minimum,Min_Summed,accumulated minimum,min_Summed
Accumulated_Min,Min_Total,accumulated_Min,min_Total
Accumulated_Minimum,Min_accumulated,accumulated_Minimum,min_accumulated
Accumulated_min,Min_summed,accumulated_min,min_summed
Accumulated_minimum,Min_total,accumulated_minimum,min_total
Boundary Lower,Minimum Accumulated,boundary Lower,minimum Accumulated
Boundary lower,Minimum accumulated,boundary lower,minimum accumulated
Boundary_Lower,Minimum_Accumulated,boundary_Lower,minimum_Accumulated
Boundary_lower,Minimum_accumulated,boundary_lower,minimum_accumulated
Lb,Sm,lb,sm
Ll,Summed Min,ll,summed Min
Lower Boundary,Summed min,lower Boundary,summed min
Lower boundary,Summed_Min,lower boundary,summed_Min
Lower_Boundary,Summed_min,lower_Boundary,summed_min
Lower_boundary,Tm,lower_boundary,tm
Min Accumulated,Total Min,min Accumulated,total Min
Min Summed,Total min,min Summed,total min
Min Total,Total_Min,min Total,total_Min
Min accumulated,Total_min,min accumulated,total_min
