conversion 0,conversion_0,conversions0,efficiency 0,efficiency_0,eta0
conversion 1,conversion_1,conversions1,efficiency 1,efficiency_1,eta1
conversion 2,conversion_2,conversions2,efficiency 2,efficiency_2,eta2
conversion 3,conversion_3,conversions3,efficiency 3,efficiency_3,eta3
conversion 4,conversion_4,conversions4,efficiency 4,efficiency_4,eta4
conversion 5,conversion_5,conversions5,efficiency 5,efficiency_5,eta5
conversion 6,conversion_6,conversions6,efficiency 6,efficiency_6,eta6
conversion 7,conversion_7,conversions7,efficiency 7,efficiency_7,eta7
conversion 8,conversion_8,conversions8,efficiency 8,efficiency_8,eta8
conversion 9,conversion_9,conversions9,efficiency 9,efficiency_9,eta9
conversion0,conversions 0,conversions_0,efficiency0,eta 0,eta_0
conversion1,conversions 1,conversions_1,efficiency1,eta 1,eta_1
conversion2,conversions 2,conversions_2,efficiency2,eta 2,eta_2
conversion3,conversions 3,conversions_3,efficiency3,eta 3,eta_3
conversion4,conversions 4,conversions_4,efficiency4,eta 4,eta_4
conversion5,conversions 5,conversions_5,efficiency5,eta 5,eta_5
conversion6,conversions 6,conversions_6,efficiency6,eta 6,eta_6
conversion7,conversions 7,conversions_7,efficiency7,eta 7,eta_7
conversion8,conversions 8,conversions_8,efficiency8,eta 8,eta_8
conversion9,conversions 9,conversions_9,efficiency9,eta 9,eta_9
