CO2 0,CO2_Emissions 0,carbon_dioxide_emissions 0,co2 0,co2_emissions 0,emissions 0
CO2 1,CO2_Emissions 1,carbon_dioxide_emissions 1,co2 1,co2_emissions 1,emissions 1
CO2 2,CO2_Emissions 2,carbon_dioxide_emissions 2,co2 2,co2_emissions 2,emissions 2
CO2 3,CO2_Emissions 3,carbon_dioxide_emissions 3,co2 3,co2_emissions 3,emissions 3
CO2 4,CO2_Emissions 4,carbon_dioxide_emissions 4,co2 4,co2_emissions 4,emissions 4
CO2 5,CO2_Emissions 5,carbon_dioxide_emissions 5,co2 5,co2_emissions 5,emissions 5
CO2 6,CO2_Emissions 6,carbon_dioxide_emissions 6,co2 6,co2_emissions 6,emissions 6
CO2 7,CO2_Emissions 7,carbon_dioxide_emissions 7,co2 7,co2_emissions 7,emissions 7
CO2 8,CO2_Emissions 8,carbon_dioxide_emissions 8,co2 8,co2_emissions 8,emissions 8
CO2 9,CO2_Emissions 9,carbon_dioxide_emissions 9,co2 9,co2_emissions 9,emissions 9
CO20,CO2_Emissions0,carbon_dioxide_emissions0,co20,co2_emissions0,emissions0
CO21,CO2_Emissions1,carbon_dioxide_emissions1,co21,co2_emissions1,emissions1
CO22,CO2_Emissions2,carbon_dioxide_emissions2,co22,co2_emissions2,emissions2
CO23,CO2_Emissions3,carbon_dioxide_emissions3,co23,co2_emissions3,emissions3
CO24,CO2_Emissions4,carbon_dioxide_emissions4,co24,co2_emissions4,emissions4
CO25,CO2_Emissions5,carbon_dioxide_emissions5,co25,co2_emissions5,emissions5
CO26,CO2_Emissions6,carbon_dioxide_emissions6,co26,co2_emissions6,emissions6
CO27,CO2_Emissions7,carbon_dioxide_emissions7,co27,co2_emissions7,emissions7
CO28,CO2_Emissions8,carbon_dioxide_emissions8,co28,co2_emissions8,emissions8
CO29,CO2_Emissions9,carbon_dioxide_emissions9,co29,co2_emissions9,emissions9
CO2_0,CO2_Emissions_0,carbon_dioxide_emissions_0,co2_0,co2_emissions_0,emissions_0
CO2_1,CO2_Emissions_1,carbon_dioxide_emissions_1,co2_1,co2_emissions_1,emissions_1
CO2_2,CO2_Emissions_2,carbon_dioxide_emissions_2,co2_2,co2_emissions_2,emissions_2
CO2_3,CO2_Emissions_3,carbon_dioxide_emissions_3,co2_3,co2_emissions_3,emissions_3
CO2_4,CO2_Emissions_4,carbon_dioxide_emissions_4,co2_4,co2_emissions_4,emissions_4
CO2_5,CO2_Emissions_5,carbon_dioxide_emissions_5,co2_5,co2_emissions_5,emissions_5
CO2_6,CO2_Emissions_6,carbon_dioxide_emissions_6,co2_6,co2_emissions_6,emissions_6
CO2_7,CO2_Emissions_7,carbon_dioxide_emissions_7,co2_7,co2_emissions_7,emissions_7
CO2_8,CO2_Emissions_8,carbon_dioxide_emissions_8,co2_8,co2_emissions_8,emissions_8
CO2_9,CO2_Emissions_9,carbon_dioxide_emissions_9,co2_9,co2_emissions_9,emissions_9
