c 0,costs 5,fc0,flow_costs5,variable_0,variable_costs_5
c 1,costs 6,fc1,flow_costs6,variable_1,variable_costs_6
c 2,costs 7,fc2,flow_costs7,variable_2,variable_costs_7
c 3,costs 8,fc3,flow_costs8,variable_3,variable_costs_8
c 4,costs 9,fc4,flow_costs9,variable_4,variable_costs_9
c 5,costs0,fc5,flow_costs_0,variable_5,vc 0
c 6,costs1,fc6,flow_costs_1,variable_6,vc 1
c 7,costs2,fc7,flow_costs_2,variable_7,vc 2
c 8,costs3,fc8,flow_costs_3,variable_8,vc 3
c 9,costs4,fc9,flow_costs_4,variable_9,vc 4
c0,costs5,fc_0,flow_costs_5,variable_costs 0,vc 5
c1,costs6,fc_1,flow_costs_6,variable_costs 1,vc 6
c2,costs7,fc_2,flow_costs_7,variable_costs 2,vc 7
c3,costs8,fc_3,flow_costs_8,variable_costs 3,vc 8
c4,costs9,fc_4,flow_costs_9,variable_costs 4,vc 9
c5,costs_0,fc_5,variable 0,variable_costs 5,vc0
c6,costs_1,fc_6,variable 1,variable_costs 6,vc1
c7,costs_2,fc_7,variable 2,variable_costs 7,vc2
c8,costs_3,fc_8,variable 3,variable_costs 8,vc3
c9,costs_4,fc_9,variable 4,variable_costs 9,vc4
c_0,costs_5,flow_costs 0,variable 5,variable_costs0,vc5
c_1,costs_6,flow_costs 1,variable 6,variable_costs1,vc6
c_2,costs_7,flow_costs 2,variable 7,variable_costs2,vc7
c_3,costs_8,flow_costs 3,variable 8,variable_costs3,vc8
c_4,costs_9,flow_costs 4,variable 9,variable_costs4,vc9
c_5,fc 0,flow_costs 5,variable0,variable_costs5,vc_0
c_6,fc 1,flow_costs 6,variable1,variable_costs6,vc_1
c_7,fc 2,flow_costs 7,variable2,variable_costs7,vc_2
c_8,fc 3,flow_costs 8,variable3,variable_costs8,vc_3
c_9,fc 4,flow_costs 9,variable4,variable_costs9,vc_4
costs 0,fc 5,flow_costs0,variable5,variable_costs_0,vc_5
costs 1,fc 6,flow_costs1,variable6,variable_costs_1,vc_6
costs 2,fc 7,flow_costs2,variable7,variable_costs_2,vc_7
costs 3,fc 8,flow_costs3,variable8,variable_costs_3,vc_8
costs 4,fc 9,flow_costs4,variable9,variable_costs_4,vc_9
