fraction 0,fraction5,frct 0,frct5,part 0,part5
fraction 1,fraction6,frct 1,frct6,part 1,part6
fraction 2,fraction7,frct 2,frct7,part 2,part7
fraction 3,fraction8,frct 3,frct8,part 3,part8
fraction 4,fraction9,frct 4,frct9,part 4,part9
fraction 5,fraction_0,frct 5,frct_0,part 5,part_0
fraction 6,fraction_1,frct 6,frct_1,part 6,part_1
fraction 7,fraction_2,frct 7,frct_2,part 7,part_2
fraction 8,fraction_3,frct 8,frct_3,part 8,part_3
fraction 9,fraction_4,frct 9,frct_4,part 9,part_4
fraction0,fraction_5,frct0,frct_5,part0,part_5
fraction1,fraction_6,frct1,frct_6,part1,part_6
fraction2,fraction_7,frct2,frct_7,part2,part_7
fraction3,fraction_8,frct3,frct_8,part3,part_8
fraction4,fraction_9,frct4,frct_9,part4,part_9
