incoming_costs 0,incoming_costs_5,incosts_0,inflow_costs5,specific_inflow_costs0,variable_inflow_costs 5
incoming_costs 1,incoming_costs_6,incosts_1,inflow_costs6,specific_inflow_costs1,variable_inflow_costs 6
incoming_costs 2,incoming_costs_7,incosts_2,inflow_costs7,specific_inflow_costs2,variable_inflow_costs 7
incoming_costs 3,incoming_costs_8,incosts_3,inflow_costs8,specific_inflow_costs3,variable_inflow_costs 8
incoming_costs 4,incoming_costs_9,incosts_4,inflow_costs9,specific_inflow_costs4,variable_inflow_costs 9
incoming_costs 5,incosts 0,incosts_5,inflow_costs_0,specific_inflow_costs5,variable_inflow_costs0
incoming_costs 6,incosts 1,incosts_6,inflow_costs_1,specific_inflow_costs6,variable_inflow_costs1
incoming_costs 7,incosts 2,incosts_7,inflow_costs_2,specific_inflow_costs7,variable_inflow_costs2
incoming_costs 8,incosts 3,incosts_8,inflow_costs_3,specific_inflow_costs8,variable_inflow_costs3
incoming_costs 9,incosts 4,incosts_9,inflow_costs_4,specific_inflow_costs9,variable_inflow_costs4
incoming_costs0,incosts 5,inflow_costs 0,inflow_costs_5,specific_inflow_costs_0,variable_inflow_costs5
incoming_costs1,incosts 6,inflow_costs 1,inflow_costs_6,specific_inflow_costs_1,variable_inflow_costs6
incoming_costs2,incosts 7,inflow_costs 2,inflow_costs_7,specific_inflow_costs_2,variable_inflow_costs7
incoming_costs3,incosts 8,inflow_costs 3,inflow_costs_8,specific_inflow_costs_3,variable_inflow_costs8
incoming_costs4,incosts 9,inflow_costs 4,inflow_costs_9,specific_inflow_costs_4,variable_inflow_costs9
incoming_costs5,incosts0,inflow_costs 5,specific_inflow_costs 0,specific_inflow_costs_5,variable_inflow_costs_0
incoming_costs6,incosts1,inflow_costs 6,specific_inflow_costs 1,specific_inflow_costs_6,variable_inflow_costs_1
incoming_costs7,incosts2,inflow_costs 7,specific_inflow_costs 2,specific_inflow_costs_7,variable_inflow_costs_2
incoming_costs8,incosts3,inflow_costs 8,specific_inflow_costs 3,specific_inflow_costs_8,variable_inflow_costs_3
incoming_costs9,incosts4,inflow_costs 9,specific_inflow_costs 4,specific_inflow_costs_9,variable_inflow_costs_4
incoming_costs_0,incosts5,inflow_costs0,specific_inflow_costs 5,variable_inflow_costs 0,variable_inflow_costs_5
incoming_costs_1,incosts6,inflow_costs1,specific_inflow_costs 6,variable_inflow_costs 1,variable_inflow_costs_6
incoming_costs_2,incosts7,inflow_costs2,specific_inflow_costs 7,variable_inflow_costs 2,variable_inflow_costs_7
incoming_costs_3,incosts8,inflow_costs3,specific_inflow_costs 8,variable_inflow_costs 3,variable_inflow_costs_8
incoming_costs_4,incosts9,inflow_costs4,specific_inflow_costs 9,variable_inflow_costs 4,variable_inflow_costs_9
