inflow_CO2 0,inflow_CO2_Emissions 0,inflow_carbon_dioxide_emissions 0,inflow_co2 0,inflow_co2_emissions 0,inflow_emissions 0
inflow_CO2 1,inflow_CO2_Emissions 1,inflow_carbon_dioxide_emissions 1,inflow_co2 1,inflow_co2_emissions 1,inflow_emissions 1
inflow_CO2 2,inflow_CO2_Emissions 2,inflow_carbon_dioxide_emissions 2,inflow_co2 2,inflow_co2_emissions 2,inflow_emissions 2
inflow_CO2 3,inflow_CO2_Emissions 3,inflow_carbon_dioxide_emissions 3,inflow_co2 3,inflow_co2_emissions 3,inflow_emissions 3
inflow_CO2 4,inflow_CO2_Emissions 4,inflow_carbon_dioxide_emissions 4,inflow_co2 4,inflow_co2_emissions 4,inflow_emissions 4
inflow_CO2 5,inflow_CO2_Emissions 5,inflow_carbon_dioxide_emissions 5,inflow_co2 5,inflow_co2_emissions 5,inflow_emissions 5
inflow_CO2 6,inflow_CO2_Emissions 6,inflow_carbon_dioxide_emissions 6,inflow_co2 6,inflow_co2_emissions 6,inflow_emissions 6
inflow_CO2 7,inflow_CO2_Emissions 7,inflow_carbon_dioxide_emissions 7,inflow_co2 7,inflow_co2_emissions 7,inflow_emissions 7
inflow_CO2 8,inflow_CO2_Emissions 8,inflow_carbon_dioxide_emissions 8,inflow_co2 8,inflow_co2_emissions 8,inflow_emissions 8
inflow_CO2 9,inflow_CO2_Emissions 9,inflow_carbon_dioxide_emissions 9,inflow_co2 9,inflow_co2_emissions 9,inflow_emissions 9
inflow_CO20,inflow_CO2_Emissions0,inflow_carbon_dioxide_emissions0,inflow_co20,inflow_co2_emissions0,inflow_emissions0
inflow_CO21,inflow_CO2_Emissions1,inflow_carbon_dioxide_emissions1,inflow_co21,inflow_co2_emissions1,inflow_emissions1
inflow_CO22,inflow_CO2_Emissions2,inflow_carbon_dioxide_emissions2,inflow_co22,inflow_co2_emissions2,inflow_emissions2
inflow_CO23,inflow_CO2_Emissions3,inflow_carbon_dioxide_emissions3,inflow_co23,inflow_co2_emissions3,inflow_emissions3
inflow_CO24,inflow_CO2_Emissions4,inflow_carbon_dioxide_emissions4,inflow_co24,inflow_co2_emissions4,inflow_emissions4
inflow_CO25,inflow_CO2_Emissions5,inflow_carbon_dioxide_emissions5,inflow_co25,inflow_co2_emissions5,inflow_emissions5
inflow_CO26,inflow_CO2_Emissions6,inflow_carbon_dioxide_emissions6,inflow_co26,inflow_co2_emissions6,inflow_emissions6
inflow_CO27,inflow_CO2_Emissions7,inflow_carbon_dioxide_emissions7,inflow_co27,inflow_co2_emissions7,inflow_emissions7
inflow_CO28,inflow_CO2_Emissions8,inflow_carbon_dioxide_emissions8,inflow_co28,inflow_co2_emissions8,inflow_emissions8
inflow_CO29,inflow_CO2_Emissions9,inflow_carbon_dioxide_emissions9,inflow_co29,inflow_co2_emissions9,inflow_emissions9
inflow_CO2_0,inflow_CO2_Emissions_0,inflow_carbon_dioxide_emissions_0,inflow_co2_0,inflow_co2_emissions_0,inflow_emissions_0
inflow_CO2_1,inflow_CO2_Emissions_1,inflow_carbon_dioxide_emissions_1,inflow_co2_1,inflow_co2_emissions_1,inflow_emissions_1
inflow_CO2_2,inflow_CO2_Emissions_2,inflow_carbon_dioxide_emissions_2,inflow_co2_2,inflow_co2_emissions_2,inflow_emissions_2
inflow_CO2_3,inflow_CO2_Emissions_3,inflow_carbon_dioxide_emissions_3,inflow_co2_3,inflow_co2_emissions_3,inflow_emissions_3
inflow_CO2_4,inflow_CO2_Emissions_4,inflow_carbon_dioxide_emissions_4,inflow_co2_4,inflow_co2_emissions_4,inflow_emissions_4
inflow_CO2_5,inflow_CO2_Emissions_5,inflow_carbon_dioxide_emissions_5,inflow_co2_5,inflow_co2_emissions_5,inflow_emissions_5
inflow_CO2_6,inflow_CO2_Emissions_6,inflow_carbon_dioxide_emissions_6,inflow_co2_6,inflow_co2_emissions_6,inflow_emissions_6
inflow_CO2_7,inflow_CO2_Emissions_7,inflow_carbon_dioxide_emissions_7,inflow_co2_7,inflow_co2_emissions_7,inflow_emissions_7
inflow_CO2_8,inflow_CO2_Emissions_8,inflow_carbon_dioxide_emissions_8,inflow_co2_8,inflow_co2_emissions_8,inflow_emissions_8
inflow_CO2_9,inflow_CO2_Emissions_9,inflow_carbon_dioxide_emissions_9,inflow_co2_9,inflow_co2_emissions_9,inflow_emissions_9
