Loss Rate,Rate Loss,loss Rate,rate Loss
Loss rate,Rate loss,loss rate,rate loss
Loss_Rate,Rate_Loss,loss_Rate,rate_Loss
Loss_rate,Rate_loss,loss_rate,rate_loss
Losses Relative,Relative Losses,losses Relative,relative Losses
Losses Specific,Relative losses,losses Specific,relative losses
Losses relative,Relative_Losses,losses relative,relative_Losses
Losses specific,Relative_losses,losses specific,relative_losses
Losses_Relative,Specific Losses,losses_Relative,specific Losses
Losses_Specific,Specific losses,losses_Specific,specific losses
Losses_relative,Specific_Losses,losses_relative,specific_Losses
Losses_specific,Specific_losses,losses_specific,specific_losses
