outflow_CO2 0,outflow_CO2_Emissions 0,outflow_carbon_dioxide_emissions 0,outflow_co2 0,outflow_co2_emissions 0,outflow_emissions 0
outflow_CO2 1,outflow_CO2_Emissions 1,outflow_carbon_dioxide_emissions 1,outflow_co2 1,outflow_co2_emissions 1,outflow_emissions 1
outflow_CO2 2,outflow_CO2_Emissions 2,outflow_carbon_dioxide_emissions 2,outflow_co2 2,outflow_co2_emissions 2,outflow_emissions 2
outflow_CO2 3,outflow_CO2_Emissions 3,outflow_carbon_dioxide_emissions 3,outflow_co2 3,outflow_co2_emissions 3,outflow_emissions 3
outflow_CO2 4,outflow_CO2_Emissions 4,outflow_carbon_dioxide_emissions 4,outflow_co2 4,outflow_co2_emissions 4,outflow_emissions 4
outflow_CO2 5,outflow_CO2_Emissions 5,outflow_carbon_dioxide_emissions 5,outflow_co2 5,outflow_co2_emissions 5,outflow_emissions 5
outflow_CO2 6,outflow_CO2_Emissions 6,outflow_carbon_dioxide_emissions 6,outflow_co2 6,outflow_co2_emissions 6,outflow_emissions 6
outflow_CO2 7,outflow_CO2_Emissions 7,outflow_carbon_dioxide_emissions 7,outflow_co2 7,outflow_co2_emissions 7,outflow_emissions 7
outflow_CO2 8,outflow_CO2_Emissions 8,outflow_carbon_dioxide_emissions 8,outflow_co2 8,outflow_co2_emissions 8,outflow_emissions 8
outflow_CO2 9,outflow_CO2_Emissions 9,outflow_carbon_dioxide_emissions 9,outflow_co2 9,outflow_co2_emissions 9,outflow_emissions 9
outflow_CO20,outflow_CO2_Emissions0,outflow_carbon_dioxide_emissions0,outflow_co20,outflow_co2_emissions0,outflow_emissions0
outflow_CO21,outflow_CO2_Emissions1,outflow_carbon_dioxide_emissions1,outflow_co21,outflow_co2_emissions1,outflow_emissions1
outflow_CO22,outflow_CO2_Emissions2,outflow_carbon_dioxide_emissions2,outflow_co22,outflow_co2_emissions2,outflow_emissions2
outflow_CO23,outflow_CO2_Emissions3,outflow_carbon_dioxide_emissions3,outflow_co23,outflow_co2_emissions3,outflow_emissions3
outflow_CO24,outflow_CO2_Emissions4,outflow_carbon_dioxide_emissions4,outflow_co24,outflow_co2_emissions4,outflow_emissions4
outflow_CO25,outflow_CO2_Emissions5,outflow_carbon_dioxide_emissions5,outflow_co25,outflow_co2_emissions5,outflow_emissions5
outflow_CO26,outflow_CO2_Emissions6,outflow_carbon_dioxide_emissions6,outflow_co26,outflow_co2_emissions6,outflow_emissions6
outflow_CO27,outflow_CO2_Emissions7,outflow_carbon_dioxide_emissions7,outflow_co27,outflow_co2_emissions7,outflow_emissions7
outflow_CO28,outflow_CO2_Emissions8,outflow_carbon_dioxide_emissions8,outflow_co28,outflow_co2_emissions8,outflow_emissions8
outflow_CO29,outflow_CO2_Emissions9,outflow_carbon_dioxide_emissions9,outflow_co29,outflow_co2_emissions9,outflow_emissions9
outflow_CO2_0,outflow_CO2_Emissions_0,outflow_carbon_dioxide_emissions_0,outflow_co2_0,outflow_co2_emissions_0,outflow_emissions_0
outflow_CO2_1,outflow_CO2_Emissions_1,outflow_carbon_dioxide_emissions_1,outflow_co2_1,outflow_co2_emissions_1,outflow_emissions_1
outflow_CO2_2,outflow_CO2_Emissions_2,outflow_carbon_dioxide_emissions_2,outflow_co2_2,outflow_co2_emissions_2,outflow_emissions_2
outflow_CO2_3,outflow_CO2_Emissions_3,outflow_carbon_dioxide_emissions_3,outflow_co2_3,outflow_co2_emissions_3,outflow_emissions_3
outflow_CO2_4,outflow_CO2_Emissions_4,outflow_carbon_dioxide_emissions_4,outflow_co2_4,outflow_co2_emissions_4,outflow_emissions_4
outflow_CO2_5,outflow_CO2_Emissions_5,outflow_carbon_dioxide_emissions_5,outflow_co2_5,outflow_co2_emissions_5,outflow_emissions_5
outflow_CO2_6,outflow_CO2_Emissions_6,outflow_carbon_dioxide_emissions_6,outflow_co2_6,outflow_co2_emissions_6,outflow_emissions_6
outflow_CO2_7,outflow_CO2_Emissions_7,outflow_carbon_dioxide_emissions_7,outflow_co2_7,outflow_co2_emissions_7,outflow_emissions_7
outflow_CO2_8,outflow_CO2_Emissions_8,outflow_carbon_dioxide_emissions_8,outflow_co2_8,outflow_co2_emissions_8,outflow_emissions_8
outflow_CO2_9,outflow_CO2_Emissions_9,outflow_carbon_dioxide_emissions_9,outflow_co2_9,outflow_co2_emissions_9,outflow_emissions_9
