connection 0,connection_out2,out_4,outgoing 6,output8
connection 1,connection_out3,out_5,outgoing 7,output9
connection 2,connection_out4,out_6,outgoing 8,output_0
connection 3,connection_out5,out_7,outgoing 9,output_1
connection 4,connection_out6,out_8,outgoing0,output_2
connection 5,connection_out7,out_9,outgoing1,output_3
connection 6,connection_out8,out_going 0,outgoing2,output_4
connection 7,connection_out9,out_going 1,outgoing3,output_5
connection 8,connection_out_0,out_going 2,outgoing4,output_6
connection 9,connection_out_1,out_going 3,outgoing5,output_7
connection0,connection_out_2,out_going 4,outgoing6,output_8
connection1,connection_out_3,out_going 5,outgoing7,output_9
connection2,connection_out_4,out_going 6,outgoing8,outputs 0
connection3,connection_out_5,out_going 7,outgoing9,outputs 1
connection4,connection_out_6,out_going 8,outgoing_0,outputs 2
connection5,connection_out_7,out_going 9,outgoing_1,outputs 3
connection6,connection_out_8,out_going0,outgoing_2,outputs 4
connection7,connection_out_9,out_going1,outgoing_3,outputs 5
connection8,out 0,out_going2,outgoing_4,outputs 6
connection9,out 1,out_going3,outgoing_5,outputs 7
connection_0,out 2,out_going4,outgoing_6,outputs 8
connection_1,out 3,out_going5,outgoing_7,outputs 9
connection_2,out 4,out_going6,outgoing_8,outputs0
connection_3,out 5,out_going7,outgoing_9,outputs1
connection_4,out 6,out_going8,output 0,outputs2
connection_5,out 7,out_going9,output 1,outputs3
connection_6,out 8,out_going_0,output 2,outputs4
connection_7,out 9,out_going_1,output 3,outputs5
connection_8,out0,out_going_2,output 4,outputs6
connection_9,out1,out_going_3,output 5,outputs7
connection_out 0,out2,out_going_4,output 6,outputs8
connection_out 1,out3,out_going_5,output 7,outputs9
connection_out 2,out4,out_going_6,output 8,outputs_0
connection_out 3,out5,out_going_7,output 9,outputs_1
connection_out 4,out6,out_going_8,output0,outputs_2
connection_out 5,out7,out_going_9,output1,outputs_3
connection_out 6,out8,outgoing 0,output2,outputs_4
connection_out 7,out9,outgoing 1,output3,outputs_5
connection_out 8,out_0,outgoing 2,output4,outputs_6
connection_out 9,out_1,outgoing 3,output5,outputs_7
connection_out0,out_2,outgoing 4,output6,outputs_8
connection_out1,out_3,outgoing 5,output7,outputs_9
