solar,#ff5900,#ff6f00,#ff8400,#ff9900,#ffae00,#ffc400,#ffd900
wind,#002aff,#008cff,#00b7ff,#00ccff,#00e1ff,#00f7ff,#00fff2
water,#00004d,#190099,#0d0099,#000099,#000d99,#001a99,#002699
biomass,#004d00,#006600,#008000,#009900,#00b300,#00cc00,#00e600
gas,#1a3333,#224444,#2b5555,#336666,#3c7777,#448888,#4d9999
oil,#404040,#4d4d4d,#595959,#666666,#737373,#808080,#8c8c8c
lignite,#4d1a00,#662200,#802b00,#993300,#b33c00,#cc4400,#e64d00
hardcoal,#000000,#0d0d0d,#191919,#262626,#333333,#404040,#4c4c4c
nuclear,#808000,#999900,#b3b300,#cccc00,#e6e600,#ffff00,#ffff1a
electricity,#b39700,#ccac00,#e6c200,#ffd700,#ffdb1a,#ffdf33,#ffe34d
steam,#800020,#990026,#b3002a,#cc0033,#e60039,#ff0040,#ff1a53
hot_water,#b32400,#cc2900,#e62e00,#ff3300,#ff471a,#ff5c33,#ff704d
