renewables,#00b300,#00cc00,#00e600,#00ff00,#1aff1a,#33ff33,#4dff4d
photovoltaic,#b37400,#cc8400,#e69500,#ffa500,#ffae1a,#ffb733,#ffc04d
solarthermal,#b300b6,#cc007a,#e6008a,#ff0099,#ff1aa3,#ff33ad,#ff4db8
offshore,#4da6ff,#66b3ff,#80bfff,#99ccff,#b3d9ff,#cce6ff,#e6f2ff
onshore,#002aff,#008cff,#00b7ff,#00ccff,#00e1ff,#00f7ff,#00fff2
hydro_electric,#00004d,#190099,#0d0099,#000099,#000d99,#001a99,#002699
combined_heat_power,#6b248f,#7a29a3,#8a2eb8,#9933cc,#a347d1,#ad5cd6,#b870db
power_plant,#b34700,#cc5200,#c65c00,#ff6600,#ff751a,#ff8533,#ff944d
heat_plant,#670000,#800000,#9a0000,#b30000,#cd0000,#e60000,#ff0000
electrical_line,#b38f00,#cca300,#e6b800,#ffcc00,#ffd11a,#ffd633,#ffdb4d
gas_pipeline,#1a3333,#224444,#2b5555,#336666,#3c7777,#448888,#4d9999
gas_delivery,#003434,#004d4d,#006767,#008080,#009a9a,#00b3b3,#00cdcd
oil_pipeline,#404040,#4d4d4d,#595959,#666666,#737373,#808080,#8c8c8c
oil_delivery,#0d0d0d,#1a1a1a,#262626,#333333,#404040,#4d4d4d,#595959
hydro_electrical_storage,#000080,#000099,#0000b3,#0000cc,#0000c6,#0000ff,#1a1aff
electro_chemical_storage,#8fb300,#a3cc00,#b8e600,#ccff00,#d1ff1a,#d6ff33,#dbff4d
electro_mechanical_storage,#343400,#4d4d00,#676700,#808000,#9a9a00,#b3b300,#cdcd00
thermal_energy_storage,#800020,#990026,#b3002a,#cc0033,#e60039,#ff0040,#ff1a53
power2x,#476b6b,#527a7a,#5c8a8a,#669999,#75a3a3,#85adad,#94b8b8
power2heat,#670000,#800000,#9a0000,#b30000,#cd0000,#e60000,#ff0000
imported,#b33500,#cc3d00,#e64400,#ff4c00,#ff5e1a,#ff7033,#ff824d
backup,#340034,#4d004d,#670067,#800080,#9a009a,#b300b3,#cd00cd
demand,#1a004d,#220066,#2b0080,#330099,#3b00b3,#4400cc,#4c00e6
export,#001800,#003100,#004b00,#006400,#007e00,#009700,#00b100
excess,#800000,#990000,#b30000,#cc0000,#e60000,#ff0000,#ff1a1a
